Wavelength,Intensity
469.207712978577,684
469.21626499167803,694
469.22481693021149,688
469.23336879416848,663
469.24192058354021,700
469.25047229831773,688
469.25902393849219,673
469.26757550405478,685
469.2761269949965,689
469.28467841130873,671
469.29322975298243,692
469.30178102000883,709
469.310332212379,724
469.31888333008419,690
469.32743437311541,690
469.33598534146392,674
469.34453623512087,690
469.35308705407721,691
469.3616377983243,700
469.37018846785321,687
469.37873906265509,679
469.38728958272105,675
469.3958400280423,710
469.40439039860985,678
469.412940694415,708
469.42149091544883,685
469.43004106170247,687
469.43859113316711,678
469.44714112983388,692
469.45569105169386,681
469.46424089873824,696
469.47279067095826,703
469.48134036834489,705
469.48988999088942,693
469.49843953858289,690
469.50698901141652,702
469.51553840938146,687
469.52408773246884,685
469.53263698066979,693
469.54118615397545,693
469.549735252377,683
469.55828427586556,710
469.56683322443229,695
469.57538209806836,687
469.5839308967648,679
469.59247962051296,695
469.60102826930387,696
469.60957684312859,720
469.61812534197844,713
469.62667376584449,690
469.63522211471786,688
469.64377038858976,709
469.6523185874513,689
469.66086671129369,696
469.66941476010794,688
469.67796273388541,701
469.686510632617,687
469.69505845629408,673
469.70360620490771,675
469.71215387844893,701
469.72070147690914,697
469.72924900027925,681
469.73779644855057,692
469.74634382171416,696
469.75489111976117,705
469.76343834268289,687
469.77198549047034,690
469.78053256311466,677
469.789079560607,686
469.7976264829386,704
469.80617333010059,677
469.814720102084,684
469.82326679888013,680
469.8318134204801,685
469.840359966875,692
469.84890643805608,695
469.8574528340144,737
469.86599915474119,1935
469.87454540022759,1162
469.88309157046461,784
469.89163766544357,716
469.90018368515564,679
469.90872962959185,690
469.91727549874344,713
469.92582129260154,718
469.93436701115724,703
469.94291265440182,714
469.95145822232638,695
469.9600037149221,692
469.96854913217993,698
469.9770944740913,691
469.98563974064734,685
469.994184931839,684
470.00273004765768,687
470.01127508809441,702
470.01982005314028,689
470.0283649427866,694
470.03690975702438,674
470.04545449584487,682
470.0539991592392,709
470.06254374719856,709
470.071088259714,698
470.0796326967768,716
470.08817705837805,694
470.09672134450904,708
470.1052655551606,686
470.11380969032433,687
470.122353749991,687
470.13089773415203,696
470.13944164279843,695
470.14798547592142,702
470.15652923351217,714
470.16507291556172,949
470.17361652206142,2088
470.18216005300229,873
470.19070350837552,705
470.19924688817235,706
470.20779019238381,686
470.21633342100114,683
470.22487657401547,714
470.233419651418,696
470.24196265319978,697
470.25050557935214,677
470.25904842986614,695
470.26759120473292,675
470.27613390394367,689
470.28467652748958,684
470.29321907536189,691
470.30176154755151,690
470.31030394404974,680
470.31884626484788,698
470.3273885099369,699
470.335930679308,672
470.34447277295237,698
470.35301479086121,702
470.36155673302562,683
470.37009859943674,692
470.37864039008588,699
470.387182104964,686
470.39572374406242,692
470.40426530737233,699
470.41280679488472,703
470.42134820659084,652
470.42988954248187,697
470.43843080254896,689
470.4469719867833,683
470.45551309517606,697
470.46405412771833,701
470.47259508440135,680
470.48113596521625,703
470.48967677015423,681
470.49821749920642,705
470.50675815236394,704
470.51529872961805,684
470.52383923095988,699
470.53237965638056,687
470.54092000587133,690
470.54946027942333,709
470.55800047702763,678
470.56654059867554,703
470.57508064435814,711
470.58362061406666,701
470.59216050779213,692
470.60070032552596,694
470.60924006725907,678
470.61777973298274,679
470.62631932268812,693
470.6348588363665,698
470.64339827400886,675
470.65193763560637,702
470.66047692115035,684
470.66901613063186,695
470.6775552640421,701
470.6860943213722,681
470.69463330261345,709
470.70317220775689,693
470.71171103679382,694
470.72024978971524,683
470.72878846651241,694
470.73732706717652,696
470.7458655916987,705
470.75440404007009,697
470.762942412282,684
470.77148070832544,709
470.78001892819162,690
470.78855707187176,691
470.797095139357,686
470.80563313063857,707
470.81417104570761,677
470.82270888455525,693
470.83124664717269,688
470.83978433355105,668
470.84832194368158,693
470.85685947755542,687
470.86539693516374,681
470.87393431649775,705
470.88247162154858,685
470.8910088503074,693
470.89954600276536,674
470.90808307891376,675
470.91662007874356,714
470.92515700224618,708
470.93369384941258,718
470.94223062023406,721
470.95076731470175,698
470.95930393280685,694
470.96784047454048,688
470.9763769398939,692
470.98491332885823,694
470.9934496414246,711
471.00198587758433,703
471.01052203732843,713
471.01905812064814,706
471.02759412753471,685
471.03613005797922,690
471.04466591197286,698
471.05320168950686,693
471.06173739057232,700
471.07027301516047,697
471.07880856326238,705
471.08734403486949,689
471.09587942997268,700
471.10441474856333,698
471.11294999063244,686
471.12148515617145,682
471.13002024517124,706
471.13855525762312,675
471.1470901935183,707
471.15562505284794,710
471.16415983560319,708
471.17269454177529,694
471.18122917135537,681
471.18976372433457,718
471.19829820070413,710
471.20683260045524,684
471.215366923579,684
471.22390117006671,721
471.23243533990944,694
471.24096943309843,689
471.24950344962474,692
471.2580373894798,688
471.26657125265456,675
471.27510503914027,675
471.28363874892813,695
471.29217238200937,692
471.30070593837507,706
471.30923941801643,686
471.31777282092469,689
471.326306147091,701
471.3348393965066,682
471.34337256916245,682
471.35190566505008,685
471.36043868416039,682
471.36897162648467,692
471.37750449201411,711
471.38603728073991,708
471.39456999265309,705
471.40310262774511,707
471.41163518600695,683
471.42016766742978,701
471.428700072005,696
471.43723239972348,668
471.44576465057662,694
471.45429682455563,703
471.46282892165158,712
471.47136094185566,694
471.47989288515913,694
471.48842475155311,703
471.49695654102885,688
471.50548825357743,695
471.51401988919014,696
471.52255144785806,695
471.53108292957251,684
471.5396143343246,694
471.54814566210547,681
471.55667691290643,689
471.56520808671854,704
471.573739183533,692
471.58227020334107,704
471.59080114613391,701
471.59933201190279,684
471.60786280063877,704
471.616393512333,687
471.62492414697675,681
471.6334547045613,681
471.64198518507766,688
471.65051558851707,695
471.65904591487077,677
471.66757616412997,701
471.67610633628578,715
471.68463643132941,699
471.69316644925209,689
471.701696390045,693
471.7102262536992,699
471.71875604020607,677
471.7272857495567,675
471.73581538174233,701
471.74434493675415,676
471.75287441458323,675
471.76140381522089,689
471.7699331386583,699
471.7784623848865,678
471.786991553897,697
471.79552064568065,711
471.80404966022894,699
471.81257859753282,696
471.82110745758354,708
471.82963624037239,697
471.83816494589047,691
471.84669357412906,696
471.85522212507931,700
471.86375059873222,682
471.87227899507934,689
471.88080731411162,699
471.88933555582031,691
471.8978637201966,680
471.90639180723173,693
471.91491981691684,687
471.92344774924311,680
471.93197560420174,685
471.94050338178397,703
471.949031081981,690
471.957558704784,699
471.96608625018411,692
471.97461371817258,690
471.9831411087406,685
471.99166842187947,708
472.00019565758015,692
472.008722815834,697
472.01724989663222,686
472.02577689996593,704
472.03430382582633,686
472.04283067420471,702
472.05135744509215,717
472.05988413847996,701
472.06841075435926,701
472.07693729272125,710
472.08546375355706,692
472.09399013685811,681
472.10251644261535,688
472.11104267082015,723
472.11956882146359,699
472.12809489453696,707
472.13662089003139,710
472.14514680793809,694
472.15367264824829,692
472.16219841095312,709
472.17072409604395,686
472.1792497035118,690
472.18777523334791,677
472.19630068554346,693
472.20482606008977,693
472.21335135697791,693
472.22187657619918,707
472.23040171774466,710
472.23892678160558,704
472.24745176777327,691
472.25597667623879,685
472.26450150699333,694
472.27302626002825,696
472.28155093533462,697
472.29007553290364,712
472.29860005272656,702
472.30712449479461,692
472.31564885909887,701
472.32417314563065,709
472.33269735438108,684
472.34122148534141,687
472.34974553850287,689
472.35826951385667,708
472.36679341139387,682
472.37531723110584,695
472.38384097298365,683
472.3923646370186,711
472.40088822320189,699
472.40941173152464,677
472.41793516197811,702
472.42645851455353,702
472.4349817892421,700
472.44350498603495,717
472.45202810492333,680
472.46055114589848,707
472.46907410895153,692
472.47759699407385,695
472.48611980125634,716
472.49464253049058,680
472.50316518176749,705
472.51168775507836,693
472.52021025041444,716
472.52873266776692,709
472.53725500712693,687
472.54577726848578,702
472.55429945183459,703
472.56282155716463,705
472.57134358446712,709
472.5798655337332,682
472.58838740495412,690
472.59690919812112,696
472.60543091322523,702
472.61395255025792,674
472.6224741092102,698
472.63099559007338,692
472.63951699283865,680
472.6480383174972,690
472.65655956404026,715
472.66508073245905,714
472.67360182274473,696
472.68212283488845,699
472.69064376888156,724
472.69916462471525,685
472.70768540238072,694
472.71620610186909,704
472.72472672317161,702
472.73324726627953,703
472.7417677311841,706
472.75028811787638,711
472.75880842634774,707
472.76732865658926,694
472.77584880859229,681
472.78436888234791,705
472.79288887784747,711
472.801408795082,685
472.80992863404288,695
472.81844839472126,710
472.82696807710829,714
472.83548768119527,702
472.8440072069734,703
472.85252665443386,686
472.86104602356789,691
472.8695653143667,691
472.87808452682145,675
472.88660366092341,688
472.89512271666382,690
472.90364169403381,693
472.91216059302468,691
472.92067941362757,699
472.92919815583377,684
472.93771681963437,685
472.94623540502079,690
472.95475391198408,682
472.96327234051546,706
472.97179069060616,691
472.98030896224742,691
472.98882715543056,698
472.99734527014658,713
473.00586330638691,700
473.01438126414257,679
473.02289914340497,695
473.03141694416507,697
473.03993466641441,705
473.04845231014394,678
473.056969875345,702
473.06548736200875,700
473.07400477012652,700
473.08252209968936,691
473.09103935068862,710
473.09955652311544,673
473.10807361696118,696
473.11659063221686,698
473.12510756887377,683
473.13362442692329,693
473.14214120635631,702
473.15065790716437,712
473.15917452933849,697
473.16769107286996,662
473.17620753775003,694
473.18472392396984,692
473.19324023152069,692
473.20175646039377,704
473.2102726105802,746
473.21878868207142,681
473.22730467485849,710
473.23582058893265,688
473.24433642428517,684
473.25285218090727,688
473.26136785879004,685
473.26988345792483,690
473.27839897830285,698
473.28691441991532,675
473.29542978275344,731
473.30394506680841,692
473.31246027207158,699
473.320975398534,685
473.329490446187,695
473.33800541502171,708
473.34652030502946,712
473.35503511620141,715
473.36354984852886,685
473.3720645020029,720
473.38057907661482,713
473.38909357235593,702
473.39760798921731,715
473.4061223271903,698
473.41463658626611,684
473.42315076643592,680
473.43166486769087,709
473.44017889002237,721
473.44869283342155,685
473.45720669787966,679
473.46572048338783,679
473.47423418993748,704
473.48274781751962,701
473.49126136612563,709
473.49977483574668,708
473.508288226374,699
473.51680153799879,705
473.52531477061234,718
473.53382792420587,720
473.5423409987705,692
473.55085399429754,715
473.55936691077829,693
473.56787974820389,690
473.57639250656553,695
473.5849051858545,706
473.59341778606205,679
473.60193030717943,704
473.61044274919772,703
473.61895511210827,712
473.62746739590222,705
473.635979600571,703
473.64449172610563,692
473.65300377249736,700
473.66151573973752,709
473.67002762781732,696
473.67853943672787,688
473.68705116646061,684
473.69556281700665,701
473.70407438835718,709
473.71258588050353,689
473.7210972934368,696
473.72960862714831,692
473.73811988162936,702
473.74663105687097,696
473.75514215286455,721
473.7636531696013,701
473.77216410707246,696
473.78067496526927,699
473.78918574418287,693
473.79769644380457,704
473.80620706412566,722
473.81471760513722,699
473.82322806683061,709
473.83173844919696,701
473.84024875222764,692
473.84875897591377,705
473.85726912024666,707
473.86577918521743,725
473.87428917081746,687
473.88279907703782,690
473.89130890386997,698
473.89981865130494,695
473.90832831933403,698
473.91683790794855,699
473.92534741713968,685
473.93385684689855,740
473.94236619721659,719
473.95087546808486,691
473.95938465949473,748
473.96789377143733,724
473.976402803904,1853
473.984911756886,1790
473.99342063037437,1854
474.00192942436058,1226
474.01043813883558,751
474.01894677379096,723
474.02745532921767,703
474.0359638051072,695
474.0444722014505,695
474.052980518239,720
474.06148875546393,690
474.06999691311648,681
474.07850499118797,693
474.08701298966946,696
474.09552090855237,694
474.1040287478279,719
474.11253650748716,698
474.12104418752159,692
474.12955178792231,716
474.13805930868062,709
474.14656674978761,702
474.15507411123474,704
474.16358139301309,696
474.172088595114,694
474.18059571752866,693
474.18910276024826,719
474.19760972326418,717
474.20611660656749,696
474.21462341014961,715
474.22313013400162,705
474.23163677811488,759
474.24014334248062,1401
474.24864982709,800
474.2571562319344,738
474.26566255700487,712
474.27416880229276,703
474.28267496778943,695
474.29118105348596,701
474.29968705937358,677
474.30819298544367,689
474.3166988316874,710
474.325204598096,704
474.3337102846607,703
474.3422158913728,718
474.35072141822354,705
474.35922686520416,717
474.3677322323058,716
474.37623751951986,692
474.38474272683749,721
474.39324785425,707
474.40175290174858,702
474.41025786932454,701
474.41876275696904,693
474.42726756467334,718
474.43577229242885,735
474.44427694022653,710
474.45278150805785,715
474.461285995914,712
474.46979040378625,705
474.47829473166576,699
474.48679897954383,709
474.49530314741173,694
474.50380723526069,692
474.51231124308197,703
474.5208151708668,705
474.52931901860649,712
474.53782278629211,699
474.54632647391514,693
474.55483008146672,719
474.563333608938,725
474.57183705632042,691
474.58034042360515,698
474.58884371078335,688
474.59734691784649,708
474.6058500447856,718
474.61435309159191,707
474.6228560582569,697
474.6313589447717,714
474.63986175112751,689
474.64836447731568,709
474.6568671233274,890
474.66536968915386,2078
474.67387217478648,913
474.68237458021639,709
474.69087690543483,710
474.69937915043312,700
474.70788131520248,729
474.71638339973418,699
474.7248854040194,712
474.7333873280495,697
474.74188917181573,718
474.75039093530927,718
474.75889261852137,684
474.76739422144334,704
474.77589574406636,699
474.78439718638185,722
474.79289854838089,699
474.80139983005478,690
474.80990103139476,677
474.81840215239225,693
474.82690319303828,707
474.83540415332419,710
474.8439050332413,712
474.85240583278073,708
474.86090655193385,714
474.8694071906919,696
474.87790774904613,709
474.88640822698773,714
474.89490862450805,716
474.90340894159834,924
